 学号        绩点         兴趣度量    出勤意愿     是否出勤 
320000001   2.007075    17.692932   12.987174    1
320000002   2.650902    0.631751   0.000000    0
320000003   2.986978    0.546528   0.000000    1
320000004   2.374057    0.561867   0.000000    1
320000005   2.057752    0.569206   0.000000    1
320000006   3.104449    0.582312   0.000000    1
320000007   2.725481    0.564467   0.000000    0
320000008   2.735238    0.604138   0.000000    1
320000009   2.788856    0.420960   0.000000    0
320000010   2.826392    0.520880   0.000000    1
320000011   2.820750    0.273469   0.000000    0
320000012   3.078258    0.753057   0.000000    1
320000013   3.088657    0.154688   0.000000    1
320000014   2.511634    0.449282   0.000000    0
320000015   2.190386    0.618990   0.000000    0
320000016   2.857978    0.580400   0.000000    0
320000017   3.306068    0.718686   0.000000    0
320000018   2.947762    0.607972   0.000000    1
320000019   2.543584    0.538750   0.000000    0
320000020   2.485220    0.572834   0.000000    0
320000021   2.528887    0.675025   0.000000    1
320000022   3.001561    0.533696   0.000000    1
320000023   3.672504    0.664832   0.000000    1
320000024   1.869727    0.117119   0.000000    0
320000025   2.047024    0.464280   0.000000    0
320000026   3.240301    0.613991   0.000000    1
320000027   2.924747    0.551129   0.000000    1
320000028   2.526810    0.528328   0.000000    1
320000029   1.961146    0.790175   0.000000    1
320000030   1.932167    0.502406   0.000000    1
320000031   3.640843    0.642937   0.000000    1
320000032   3.396161    0.429028   0.000000    0
320000033   2.559584    0.761203   0.000000    0
320000034   2.415621    0.565462   0.000000    1
320000035   2.643495    0.618272   0.000000    1
320000036   2.224095    -100.000000   0.000000    1
320000037   3.583043    0.636826   0.000000    0
320000038   1.617565    0.677274   0.000000    1
320000039   2.163708    0.562901   0.000000    1
320000040   2.522254    0.295470   0.000000    0
320000041   3.363953    -100.000000   0.000000    1
320000042   2.970795    0.384707   0.000000    0
320000043   2.574392    0.661160   0.000000    1
320000044   3.794892    0.492090   0.000000    1
320000045   3.504048    -100.000000   0.000000    1
320000046   3.848103    0.564495   0.000000    1
320000047   2.027656    0.679861   0.000000    1
320000048   2.617626    0.507640   0.000000    1
320000049   2.837530    0.357776   0.000000    1
320000050   3.248638    0.248888   0.000000    0
320000051   2.539460    0.436838   0.000000    0
320000052   3.684421    0.534381   0.000000    0
320000053   1.743051    0.446922   0.000000    0
320000054   2.811671    0.778986   0.000000    0
320000055   3.465023    0.534267   0.000000    1
320000056   3.524935    0.514993   0.000000    0
320000057   2.020173    0.529138   0.000000    1
320000058   2.442610    0.616333   0.000000    1
320000059   1.968213    0.417645   0.000000    0
320000060   0.482776    0.545942   0.000000    1
320000061   2.085953    0.372664   0.000000    0
320000062   3.296474    0.771730   0.000000    0
320000063   1.967865    0.586250   0.000000    1
320000064   1.450196    0.549673   0.000000    0
320000065   2.745662    0.301615   0.000000    0
320000066   2.925814    0.463537   0.000000    0
320000067   3.397296    0.376558   0.000000    0
320000068   2.288919    0.401889   0.000000    0
320000069   2.808195    0.540478   0.000000    1
320000070   2.448952    0.469221   0.000000    0
320000071   2.113063    0.530391   0.000000    0
320000072   2.904656    -100.000000   0.000000    1
320000073   3.053532    0.515662   1.642243    0
320000074   3.602158    0.480664   1.642243    0
320000075   2.194521    0.304326   2.342243    1
320000076   3.556637    0.516851   3.042243    0
320000077   3.054440    0.559053   3.742243    0
320000078   2.367055    0.506181   3.972782    0
320000079   2.377953    0.468556   4.442243    0
320000080   1.886349    0.630061   4.672782    0
320000081   2.710528    0.350069   5.142243    0
320000082   2.618082    0.295224   5.372782    1
320000083   2.850462    -100.000000   6.072782    1
320000084   2.788702    0.633412   6.772782    0
320000085   2.600589    0.396826   7.242243    1
320000086   2.242309    0.670478   7.242243    0
320000087   3.182758    0.574601   7.472782    0
320000088   3.293964    0.395662   9.342243    1
320000089   2.098513    9.776040   10.042243    1
320000090   1.905097    13.529592   10.042243    1
