学号             绩点         不信任度         缺勤值度量     点名情况
320000001     2.007075      1.000000       0.000000         1
320000002     2.650902      20.000000       0.000000         1
320000003     2.986978      0.000000       0.000000         0
320000004     2.374057      0.000000       0.000000         0
320000005     2.057752      0.000000       0.000000         0
320000006     3.104449      0.000000       0.000000         0
320000007     2.725481      0.000000       0.000000         0
320000008     2.735238      0.000000       0.000000         0
320000009     2.788856      0.000000       0.000000         0
320000010     2.826392      0.000000       0.000000         0
320000011     2.820750      0.000000       0.000000         0
320000012     3.078258      0.000000       0.000000         0
320000013     3.088657      0.000000       0.000000         0
320000014     2.511634      0.000000       0.000000         0
320000015     2.190386      0.000000       0.000000         0
320000016     2.857978      0.000000       0.000000         0
320000017     3.306068      0.000000       0.000000         0
320000018     2.947762      0.000000       0.000000         0
320000019     2.543584      0.000000       0.000000         0
320000020     2.485220      0.000000       0.000000         0
320000021     2.528887      0.000000       0.000000         0
320000022     3.001561      0.000000       0.000000         0
320000023     3.672504      0.000000       0.000000         0
320000024     1.869727      0.000000       0.000000         0
320000025     2.047024      0.000000       0.000000         0
320000026     3.240301      0.000000       0.000000         0
320000027     2.924747      0.000000       0.000000         0
320000028     2.526810      0.000000       0.000000         0
320000029     1.961146      0.000000       0.000000         0
320000030     1.932167      0.000000       0.000000         0
320000031     3.640843      0.000000       0.000000         0
320000032     3.396161      0.000000       0.000000         0
320000033     2.559584      0.000000       0.000000         0
320000034     2.415621      0.000000       0.000000         0
320000035     2.643495      0.000000       0.000000         0
320000036     2.224095      1.000000       0.000000         1
320000037     3.583043      0.000000       0.000000         0
320000038     1.617565      0.000000       0.000000         0
320000039     2.163708      1.000000       0.000000         1
320000040     2.522254      0.000000       0.000000         0
320000041     3.363953      0.000000       0.000000         0
320000042     2.970795      0.000000       0.000000         0
320000043     2.574392      0.000000       0.000000         0
320000044     3.794892      0.000000       0.000000         0
320000045     3.504048      1.000000       0.000000         1
320000046     3.848103      0.000000       0.000000         0
320000047     2.027656      0.000000       0.000000         0
320000048     2.617626      0.000000       0.000000         0
320000049     2.837530      0.000000       0.000000         0
320000050     3.248638      0.000000       0.000000         0
320000051     2.539460      0.000000       0.000000         0
320000052     3.684421      0.000000       0.000000         0
320000053     1.743051      0.000000       0.000000         0
320000054     2.811671      0.000000       0.000000         0
320000055     3.465023      1.000000       0.000000         1
320000056     3.524935      0.000000       0.000000         0
320000057     2.020173      0.000000       0.000000         0
320000058     2.442610      0.000000       0.000000         0
320000059     1.968213      0.000000       0.000000         0
320000060     0.482776      0.000000       0.000000         0
320000061     2.085953      0.000000       0.000000         0
320000062     3.296474      0.000000       0.000000         0
320000063     1.967865      0.000000       0.000000         0
320000064     1.450196      0.000000       0.000000         0
320000065     2.745662      0.000000       0.000000         0
320000066     2.925814      0.000000       0.000000         0
320000067     3.397296      0.000000       0.000000         0
320000068     2.288919      0.000000       0.000000         0
320000069     2.808195      0.000000       0.000000         0
320000070     2.448952      0.000000       0.000000         0
320000071     2.113063      0.000000       0.000000         0
320000072     2.904656      1.000000       0.000000         1
320000073     3.053532      0.000000       0.000000         0
320000074     3.602158      0.000000       0.000000         0
320000075     2.194521      1.000000       0.000000         1
320000076     3.556637      0.000000       0.000000         0
320000077     3.054440      0.000000       0.000000         0
320000078     2.367055      0.000000       0.000000         0
320000079     2.377953      0.000000       0.000000         0
320000080     1.886349      18.000000       1.271529         1
320000081     2.710528      4.000000       1.302122         1
320000082     2.618082      0.000000       1.329554         0
320000083     2.850462      21.000000       1.349112         1
320000084     2.788702      0.000000       1.358356         0
320000085     2.600589      17.000000       1.367229         1
320000086     2.242309      0.000000       1.555139         0
320000087     3.182758      15.000000       1.571397         1
320000088     3.293964      18.000000       1.688189         1
320000089     2.098513      14.000000       1.739507         1
320000090     1.905097      7.000000       1.751215         1
